protocol,concurrency,repeat,sample_id,cpu_percent
PLAKA-MD,10,2,3,12
PLAKA-MD,10,3,1,12
PLAKA-MD,10,3,2,12
PLAKA-MD,10,3,3,12
PLAKA-MD,100,1,1,55
PLAKA-MD,100,1,2,55
PLAKA-MD,100,1,3,55
PLAKA-MD,100,2,1,55
PLAKA-MD,100,2,2,55
PLAKA-MD,100,2,3,55
PLAKA-MD,100,3,1,55
PLAKA-MD,100,3,2,55
PLAKA-MD,100,3,3,55
PLAKA-MD,500,1,1,92
PLAKA-MD,500,1,2,92
PLAKA-MD,500,1,3,92
PLAKA-MD,500,2,1,92
PLAKA-MD,500,2,2,92
PLAKA-MD,500,2,3,92
PLAKA-MD,500,3,1,92
PLAKA-MD,500,3,2,92
PLAKA-MD,500,3,3,92
PLAKA-MD,1000,1,1,96
PLAKA-MD,1000,1,2,96
PLAKA-MD,1000,1,3,96
PLAKA-MD,1000,2,1,96
PLAKA-MD,1000,2,2,96
PLAKA-MD,1000,2,3,96
PLAKA-MD,1000,3,1,96
PLAKA-MD,1000,3,2,96
PLAKA-MD,1000,3,3,96
PLAKA-MD,2000,1,1,100
PLAKA-MD,2000,1,2,100
PLAKA-MD,2000,1,3,100
PLAKA-MD,2000,2,1,100
PLAKA-MD,2000,2,2,100
PLAKA-MD,2000,2,3,100
PLAKA-MD,2000,3,1,100
PLAKA-MD,2000,3,2,100
PLAKA-MD,2000,3,3,100
PLAKA-MD,5000,1,1,100
PLAKA-MD,5000,1,2,100
PLAKA-MD,5000,1,3,100
PLAKA-MD,5000,2,1,100
PLAKA-MD,5000,2,2,100
PLAKA-MD,5000,2,3,100
PLAKA-MD,5000,3,1,100
PLAKA-MD,5000,3,2,100
PLAKA-MD,5000,3,3,100
PLAKA-MD,10000,1,1,100
PLAKA-MD,10000,1,2,100
PLAKA-MD,10000,1,3,100
PLAKA-MD,10000,2,1,100
PLAKA-MD,10000,2,2,100
PLAKA-MD,10000,2,3,100
PLAKA-MD,10000,3,1,100
PLAKA-MD,10000,3,2,100
PLAKA-MD,10000,3,3,100
ERASMIS,10,1,1,11
ERASMIS,10,1,2,11
ERASMIS,10,1,3,11
ERASMIS,10,2,1,11
ERASMIS,10,2,2,11
ERASMIS,10,2,3,11
ERASMIS,10,3,1,11
ERASMIS,10,3,2,11
ERASMIS,10,3,3,11
ERASMIS,100,1,1,10
ERASMIS,100,1,2,10
ERASMIS,100,1,3,10
ERASMIS,100,2,1,10
ERASMIS,100,2,2,10
ERASMIS,100,2,3,10
ERASMIS,100,3,1,10
ERASMIS,100,3,2,10
ERASMIS,100,3,3,10
ERASMIS,>=500,1,1,10
ERASMIS,>=500,1,2,10
ERASMIS,>=500,1,3,10
ERASMIS,>=500,2,1,10
ERASMIS,>=500,2,2,10
ERASMIS,>=500,2,3,10
ERASMIS,>=500,3,1,10
ERASMIS,>=500,3,2,10
ERASMIS,>=500,3,3,10
4F-IoMT,10,1,1,13
4F-IoMT,10,1,2,13
4F-IoMT,10,1,3,13
4F-IoMT,10,2,1,13
4F-IoMT,10,2,2,13
4F-IoMT,10,2,3,13
4F-IoMT,10,3,1,13
4F-IoMT,10,3,2,13
4F-IoMT,10,3,3,13
4F-IoMT,100,1,1,12
4F-IoMT,100,1,2,12
4F-IoMT,100,1,3,12
4F-IoMT,100,2,1,12
4F-IoMT,100,2,2,12
4F-IoMT,100,2,3,12
4F-IoMT,100,3,1,12
4F-IoMT,100,3,2,12
4F-IoMT,100,3,3,12
4F-IoMT,>=500,1,1,12
4F-IoMT,>=500,1,2,12
4F-IoMT,>=500,1,3,12
4F-IoMT,>=500,2,1,12
4F-IoMT,>=500,2,2,12
4F-IoMT,>=500,2,3,12
4F-IoMT,>=500,3,1,12
4F-IoMT,>=500,3,2,12
4F-IoMT,>=500,3,3,12
